gender,age,marstatus,children,age
Женский,18,Холост,Нет,1
Женский,19,Гражданский брак/женат/замужем,Да,22
Женский,19,Гражданский брак/женат/замужем,Нет,21
Женский,19,Разведен,Да,1
Женский,19,Холост,Да,13
Женский,19,Холост,Нет,94
Женский,19,Холост,Пропуск поля,2
Женский,20,Гражданский брак/женат/замужем,Да,31
Женский,20,Гражданский брак/женат/замужем,Нет,41
Женский,20,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,20,Разведен,Да,2
Женский,20,Разведен,Нет,2
Женский,20,Холост,Да,17
Женский,20,Холост,Нет,90
Женский,20,Холост,Пропуск поля,2
Женский,21,Вдова/вдовец,Да,1
Женский,21,Вдова/вдовец,Нет,2
Женский,21,Гражданский брак/женат/замужем,Да,52
Женский,21,Гражданский брак/женат/замужем,Нет,62
Женский,21,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,21,Разведен,Да,3
Женский,21,Разведен,Нет,4
Женский,21,Холост,Да,30
Женский,21,Холост,Нет,133
Женский,21,Холост,Пропуск поля,4
Женский,22,Вдова/вдовец,Да,2
Женский,22,Гражданский брак/женат/замужем,Да,103
Женский,22,Гражданский брак/женат/замужем,Нет,70
Женский,22,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,22,Разведен,Да,17
Женский,22,Разведен,Нет,5
Женский,22,Холост,Да,54
Женский,22,Холост,Нет,147
Женский,23,Вдова/вдовец,Да,2
Женский,23,Вдова/вдовец,Нет,1
Женский,23,Гражданский брак/женат/замужем,Да,131
Женский,23,Гражданский брак/женат/замужем,Нет,78
Женский,23,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,23,Разведен,Да,14
Женский,23,Разведен,Нет,9
Женский,23,Холост,Да,47
Женский,23,Холост,Нет,114
Женский,23,Холост,Пропуск поля,2
Женский,24,Вдова/вдовец,Да,6
Женский,24,Гражданский брак/женат/замужем,Да,148
Женский,24,Гражданский брак/женат/замужем,Нет,63
Женский,24,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,24,Разведен,Да,16
Женский,24,Разведен,Нет,6
Женский,24,Разведен,Пропуск поля,1
Женский,24,Холост,Да,74
Женский,24,Холост,Нет,94
Женский,24,Холост,Пропуск поля,6
Женский,25,Вдова/вдовец,Да,4
Женский,25,Вдова/вдовец,Нет,2
Женский,25,Гражданский брак/женат/замужем,Да,161
Женский,25,Гражданский брак/женат/замужем,Нет,72
Женский,25,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,25,Разведен,Да,47
Женский,25,Разведен,Нет,7
Женский,25,Холост,Да,55
Женский,25,Холост,Нет,97
Женский,25,Холост,Пропуск поля,1
Женский,26,Вдова/вдовец,Да,2
Женский,26,Вдова/вдовец,Нет,1
Женский,26,Гражданский брак/женат/замужем,Да,191
Женский,26,Гражданский брак/женат/замужем,Нет,70
Женский,26,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,26,Разведен,Да,23
Женский,26,Разведен,Нет,13
Женский,26,Холост,Да,68
Женский,26,Холост,Нет,83
Женский,26,Холост,Пропуск поля,5
Женский,27,Вдова/вдовец,Да,1
Женский,27,Вдова/вдовец,Нет,1
Женский,27,Гражданский брак/женат/замужем,Да,192
Женский,27,Гражданский брак/женат/замужем,Нет,75
Женский,27,Гражданский брак/женат/замужем,Пропуск поля,3
Женский,27,Разведен,Да,24
Женский,27,Разведен,Нет,7
Женский,27,Холост,Да,57
Женский,27,Холост,Нет,59
Женский,27,Холост,Пропуск поля,2
Женский,28,Вдова/вдовец,Да,8
Женский,28,Вдова/вдовец,Нет,1
Женский,28,Гражданский брак/женат/замужем,Да,171
Женский,28,Гражданский брак/женат/замужем,Нет,55
Женский,28,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,28,Разведен,Да,35
Женский,28,Разведен,Нет,13
Женский,28,Разведен,Пропуск поля,1
Женский,28,Холост,Да,74
Женский,28,Холост,Нет,57
Женский,28,Холост,Пропуск поля,3
Женский,29,Вдова/вдовец,Да,6
Женский,29,Вдова/вдовец,Нет,2
Женский,29,Гражданский брак/женат/замужем,Да,186
Женский,29,Гражданский брак/женат/замужем,Нет,60
Женский,29,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,29,Разведен,Да,51
Женский,29,Разведен,Нет,9
Женский,29,Разведен,Пропуск поля,1
Женский,29,Холост,Да,60
Женский,29,Холост,Нет,52
Женский,29,Холост,Пропуск поля,1
Женский,30,Вдова/вдовец,Да,7
Женский,30,Вдова/вдовец,Нет,1
Женский,30,Гражданский брак/женат/замужем,Да,198
Женский,30,Гражданский брак/женат/замужем,Нет,42
Женский,30,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,30,Разведен,Да,44
Женский,30,Разведен,Нет,8
Женский,30,Разведен,Пропуск поля,1
Женский,30,Холост,Да,89
Женский,30,Холост,Нет,39
Женский,31,Вдова/вдовец,Да,9
Женский,31,Вдова/вдовец,Нет,2
Женский,31,Гражданский брак/женат/замужем,Да,180
Женский,31,Гражданский брак/женат/замужем,Нет,46
Женский,31,Разведен,Да,42
Женский,31,Разведен,Нет,9
Женский,31,Холост,Да,54
Женский,31,Холост,Нет,37
Женский,31,Холост,Пропуск поля,3
Женский,32,Вдова/вдовец,Да,11
Женский,32,Вдова/вдовец,Нет,1
