,loan_term,gender,age,auto,housing,marstatus,regclient,jobtype,region,credits,children,delinq60plus
1,14,мужской,21,,живут с родителями,холост,нет,официальное,кемеровская область юг,да,нет,0
2,14,мужской,25,,собственное,холост,да,официальное,кемеровская область север,,нет,0
3,14,женский,47,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,нет,0
6,14,женский,63,,собственное,,да,,кемеровская область север,да,,0
7,14,женский,29,нет,собственное,разведен,да,,кемеровская область север,нет,да,0
8,14,женский,27,,,,да,,кемеровская область юг,да,нет,0
9,14,мужской,20,,муниципальное,холост,нет,,кемеровская область юг,нет,нет,0
10,14,женский,39,,собственное,холост,да,,кемеровская область юг,нет,да,0
12,14,женский,51,,муниципальное,вдова/вдовец,да,,кемеровская область север,да,нет,0
14,14,мужской,25,нет,,холост,да,официальное,кемеровская область юг,нет,нет,1
15,14,женский,39,,,,да,,новосибирская область,нет,да,1
17,59,мужской,36,,,,да,,кемеровская область юг,да,нет,1
19,14,мужской,23,,собственное,холост,нет,официальное,кемеровская область юг,да,нет,1
20,14,женский,27,,арендуемое,холост,да,,кемеровская область север,да,да,1
21,14,мужской,22,,собственное,холост,да,официальное,кемеровская область север,нет,нет,1
22,14,мужской,25,,,,да,официальное,кемеровская область юг,нет,нет,1
25,14,мужской,22,,собственное,холост,да,,кемеровская область север,да,нет,1
26,14,мужской,32,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,1
27,14,женский,21,,арендуемое,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,1
29,14,мужской,41,,,холост,да,,кемеровская область юг,да,нет,1
31,9,мужской,27,,арендуемое,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,1
33,9,мужской,38,,,,да,,кемеровская область север,нет,нет,0
34,9,мужской,51,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
36,14,мужской,21,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,0
37,14,мужской,40,,,,да,,кемеровская область юг,нет,нет,0
38,14,женский,47,,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,0
40,14,мужской,60,,,,да,,кемеровская область юг,нет,нет,0
41,14,женский,21,,собственное,холост,да,,кемеровская область юг,да,нет,0
42,14,женский,49,,,,нет,,кемеровская область юг,нет,нет,0
44,14,мужской,56,,,,да,,кемеровская область север,да,нет,0
45,59,женский,36,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
47,9,женский,55,,собственное,холост,да,официальное,кемеровская область юг,нет,,0
49,14,женский,59,нет,собственное,вдова/вдовец,да,,кемеровская область юг,нет,нет,1
51,14,мужской,22,,,,да,,кемеровская область север,да,нет,1
52,14,мужской,31,нет,арендуемое,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,,1
53,14,мужской,60,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
54,59,мужской,29,нет,собственное,,да,официальное,кемеровская область север,нет,нет,1
61,14,мужской,26,,,,да,,кемеровская область юг,нет,нет,1
65,14,женский,30,нет,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,,да,1
68,14,мужской,30,,собственное,холост,да,,кемеровская область север,нет,нет,1
69,14,мужской,25,,,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
73,12,женский,57,,собственное,холост,нет,,кемеровская область север,да,нет,1
74,9,женский,20,,живут с родителями,холост,нет,официальное,кемеровская область юг,нет,нет,1
78,9,женский,57,,собственное,разведен,да,,кемеровская область север,нет,нет,0
80,14,мужской,32,,,,да,,кемеровская область юг,да,да,0
81,14,мужской,53,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
82,14,женский,43,,собственное,вдова/вдовец,да,,кемеровская область юг,да,нет,0
84,14,женский,43,,,,да,,кемеровская область север,нет,да,0
87,14,женский,40,,долевая собственность,холост,нет,официальное,кемеровская область юг,да,нет,0
88,14,женский,26,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,0
89,14,женский,56,,,,да,,кемеровская область юг,да,нет,0
90,14,женский,34,нет,долевая собственность,холост,да,,кемеровская область север,,нет,1
91,14,женский,38,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,1
93,14,женский,39,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,1
94,14,мужской,33,,живут с родителями,холост,да,официальное,кемеровская область юг,нет,нет,1
96,14,мужской,45,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,,нет,1
97,29,женский,59,,собственное,холост,да,,кемеровская область юг,нет,нет,1
99,14,женский,38,,собственное,,нет,,кемеровская область север,да,да,1
100,14,мужской,25,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,1
101,14,женский,25,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,1
103,14,мужской,29,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
106,9,мужской,24,,собственное,холост,да,официальное,кемеровская область север,да,нет,1
109,4,женский,47,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,да,да,0
110,9,женский,61,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,да,нет,0
112,9,мужской,30,да,,,да,,кемеровская область север,да,,0
113,9,мужской,24,,,,да,,кемеровская область север,да,да,0
