iter	RMSE
0	548728.13
1	539277.8139
2	530368.3487
3	521413.3419
4	512989.6012
5	505280.4068
6	498590.4207
7	492222.937
8	484673.1104
9	479257.8747
10	472696.4797
11	467212.2233
12	462287.5455
13	457808.8142
14	452864.9289
15	449079.804
16	445440.6993
17	441165.947
18	436931.6638
19	432490.7104
20	429335.3492
21	425659.2544
22	421426.8991
23	417488.3934
24	413098.0281
25	410168.5461
26	407351.9409
27	403489.2167
28	399668.0499
29	396065.4233
30	392196.0849
31	388918.4719
32	386058.4268
33	383385.6554
34	380504.4961
35	377601.1298
36	374360.6521
37	371336.7871
38	368290.2881
39	365294.8956
40	362131.8791
41	359095.5951
42	356322.7168
43	352947.7278
44	349887.2236
45	347026.3257
46	344225.4188
47	341476.843
48	339397.5296
49	336711.9833
50	334585.7377
51	332274.0257
52	329542.6092
53	326540.2416
54	324375.4767
55	321570.4037
56	319403.2047
57	317060.3583
58	314578.9977
59	312757.4722
60	311088.8122
61	309229.3339
62	306983.8688
63	304887.015
64	302764.1607
65	300723.8899
66	299262.2115
67	297499.3506
68	295614.6664
69	293520.7944
70	291159.7431
71	289546.0572
72	287280.9094
73	285780.9248
74	284227.3361
75	282142.8295
76	280295.3805
77	278461.3218
78	276750.9014
79	274873.8552
80	272885.6867
81	271200.072
82	269689.3683
83	267665.1245
84	265712.6918
85	264672.8167
86	262996.9868
87	260971.7106
88	259194.6106
89	257303.2454
90	256002.1707
91	254121.2496
92	252537.3626
93	251098.7571
94	249242.8832
95	247844.0438
96	246267.4585
97	244749.2782
98	243237.4951
99	241810.5932
100	240421.806
101	238916.3419
102	237670.6185
103	236618.2188
104	235133.735
105	234024.6138
106	232733.1488
107	231328.7247
108	230210.2029
109	229066.2634
110	227776.0115
111	226222.6952
112	224822.1245
113	223678.5874
114	222378.492
115	221080.2392
116	220101.9672
117	218746.594
118	217450.4184
119	216330.8664
120	215051.1129
121	214057.0866
122	212992.6051
123	211770.2025
124	210784.7509
125	209709.8054
126	208456.5254
127	207373.0237
128	206170.4265
129	205219.766
130	204102.1545
131	203102.406
132	202365.2481
133	200933.0354
134	199579.9481
135	198316.4378
136	197429.2052
137	196506.385
138	195392.7983
139	194461.2032
140	193457.8948
141	192495.2141
142	191420.8596
143	190334.6607
144	189167.6463
145	188323.3971
146	187707.6571
147	186949.6525
148	186101.396
149	185102.3228
150	184051.6497
151	183070.4267
152	182034.5083
153	181065.9413
154	180399.431
155	179628.5504
156	178840.7505
157	178036.043
158	177231.428
159	176552.0614
160	175765.9349
161	175134.404
162	174228.1468
163	173492.7031
164	172588.4039
165	171818.0773
166	171197.0899
167	170457.9428
168	169704.1364
169	168968.4464
170	168125.8718
171	167516.4251
172	166732.281
173	165987.7289
174	165150.745
175	164449.181
176	163711.6068
177	162926.4285
178	162280.9253
179	161484.7299
180	160655.6753
181	159953.1599
182	159241.6608
183	158646.5934
184	157973.0155
185	157291.9127
186	156649.1775
187	156004.2044
188	155433.3139
189	154880.5864
190	154316.4153
191	153755.6948
192	153232.7174
193	152629.6133
194	151986.7182
195	151371.7516
196	150847.2827
197	150243.3613
198	149511.0216
199	148932.238
200	148398.7585
201	147843.0786
202	147292.3801
203	146772.5596
204	146317.5809
205	145806.1482
206	145251.1912
207	144751.0677
208	144258.4499
209	143788.6888
210	143303.0884
211	142681.6227
212	142122.4727
213	141679.437
214	141179.9667
215	140699.4663
216	140248.6829
217	139747.483
218	139292.38
219	138784.3271
220	138358.3396
221	137881.8342
222	137422.7118
223	136991.2855
224	136556.6725
225	136098.2895
226	135713.6223
227	135283.8216
228	134858.6529
229	134445.2349
230	134030.2249
231	133629.9259
232	133269.6739
233	132882.3734
234	132474.3749
235	132076.6637
236	131551.491
237	131203.2293
238	130854.8572
239	130470.2105
240	130126.2383
241	129765.7889
242	129357.0786
243	128964.9943
244	128601.3424
245	128232.5766
246	127854.6271
247	127503.8452
248	127161.2849
249	126846.2253
250	126502.0406
251	126157.5581
252	125813.189
253	125426.5609
254	125127.5075
255	124802.4406
256	124530.2373
257	124207.1594
258	123870.8253
259	123450.7978
260	123113.8565
261	122804.9702
262	122492.3938
263	122249.7172
264	121842.0182
265	121569.9149
266	121278.8365
267	121002.3543
268	120694.4062
269	120333.1466
270	120062.7215
271	119801.5643
272	119478.3191
273	119166.3374
274	118874.9425
275	118641.2601
276	118367.9424
277	118090.7775
278	117797.7841
279	117520.752
280	117242.2628
281	116950.9289
282	116613.7681
283	116385.5584
284	116143.3332
285	115917.6265
286	115693.6657
287	115408.7519
288	115194.758
289	114928.5415
290	114697.4593
291	114427.417
292	114088.7711
293	113857.3157
294	113611.3427
295	113362.5924
296	113083.0376
297	112808.2838
298	112519.597
299	112265.6484
300	112005.4559
301	111746.4461
302	111511.0543
303	111312.2973
304	111029.3499
305	110819.1962
306	110570.3515
307	110374.0485
308	110154.2093
309	109956.9002
310	109725.5715
311	109460.1187
312	109278.3389
313	109061.423
314	108840.4975
315	108656.7205
316	108457.815
317	108257.5817
318	108058.7763
319	107796.6486
320	107609.7976
321	107392.9776
322	107227.6082
323	107052.6864
324	106823.9981
325	106628.5792
326	106467.2522
327	106288.0406
328	106121.3952
329	105880.0088
330	105706.3988
331	105474.4324
332	105284.6667
333	105050.916
334	104875.586
335	104704.3987
336	104552.2079
337	104380.9213
338	104189.7107
339	104025.4834
340	103852.5581
341	103676.2318
342	103535.2271
343	103357.5801
344	103151.5133
345	103010.3353
346	102819.2269
347	102639.584
348	102460.7988
349	102293.6577
350	102078.0357
351	101942.845
352	101748.956
353	101590.2825
354	101433.8833
355	101261.6361
356	101069.8643
357	100916.5578
358	100778.6034
359	100581.1324
360	100415.3693
361	100277.9604
362	100120.504
363	99951.79962
364	99823.43335
365	99649.63792
366	99452.09459
367	99328.19294
368	99127.81922
369	98903.68402
370	98745.50789
371	98541.26646
372	98376.04055
373	98235.56296
374	98099.10896
375	97930.22533
376	97773.22159
377	97581.77459
378	97440.6431
379	97305.84641
380	97165.62992
381	97008.4615
382	96885.34217
383	96732.83293
384	96555.45348
385	96419.82944
386	96273.39636
387	96096.78147
388	95970.49921
389	95817.49921
390	95716.58437
391	95553.6211
392	95426.53839
393	95283.2534
394	95167.36392
395	95042.28398
396	94931.94547
397	94802.78091
398	94691.9026
399	94578.76627
400	94414.244
401	94290.14905
402	94068.47243
403	93918.95796
404	93780.26671
405	93624.36686
406	93505.38684
407	93390.68417
408	93292.82169
409	93179.66922
410	93042.75887
411	92889.69025
412	92766.11975
413	92617.71969
414	92503.2153
415	92396.45364
416	92248.25475
417	92141.45995
418	92025.03251
419	91922.59559
420	91777.19856
421	91677.41476
422	91585.36456
423	91454.38482
424	91352.955
425	91220.56217
426	91097.67152
427	90986.92155
428	90863.43479
429	90772.90387
430	90648.78906
431	90509.35916
432	90394.24174
433	90287.93795
434	90134.59675
435	89998.12712
436	89876.45415
437	89770.15386
438	89653.46388
439	89553.45095
440	89431.80825
441	89294.98691
442	89175.86616
443	89057.37314
444	88900.68358
445	88785.56839
446	88690.00793
447	88596.73008
448	88483.04717
449	88383.30855
450	88282.33572
451	88194.62072
452	88103.38983
453	87951.01265
454	87853.7161
455	87690.88639
456	87579.37504
457	87478.25135
458	87350.79354
459	87263.25678
460	87147.448
461	87026.12017
462	86922.60461
463	86823.48481
464	86717.90343
465	86614.10072
466	86496.13179
467	86408.45835
468	86289.89883
469	86151.45744
470	86046.05933
471	85936.50046
472	85839.47681
473	85755.97649
474	85633.89462
475	85540.58532
476	85434.57815
477	85348.24956
478	85258.27288
479	85189.70532
480	85098.01645
481	84994.48432
482	84900.44158
483	84811.56899
484	84699.71223
485	84617.26293
486	84475.79876
487	84384.94205
488	84273.59049
489	84159.4456
490	84058.57894
491	83950.44359
492	83832.94723
493	83744.51218
494	83646.87615
495	83567.12139
496	83427.68313
497	83324.50774
498	83237.94756
499	83162.79675
500	83077.43338
501	82996.67225
502	82923.37726
503	82860.9392
504	82777.54666
505	82685.67928
506	82602.38674
507	82481.88306
508	82374.24575
509	82285.76345
510	82159.92077
511	82074.57102
512	81971.35227
513	81870.1003
514	81789.26972
515	81718.36171
516	81612.66556
517	81533.48845
518	81463.25611
519	81382.04484
520	81318.28688
521	81257.71384
522	81170.43073
523	81050.87412
524	80957.66736
525	80900.58434
526	80787.16032
527	80680.8071
528	80602.42742
529	80533.3881
530	80457.96072
531	80381.80731
532	80290.27218
533	80231.03728
534	80157.91573
535	80059.73359
536	79964.46578
537	79891.03355
538	79794.90663
539	79682.47413
540	79589.29624
541	79486.34045
542	79420.44478
543	79355.46536
544	79260.10212
545	79183.53336
546	79120.69306
547	79040.01443
548	78951.96258
549	78850.50286
550	78783.24824
551	78710.76797
552	78656.35014
553	78587.87164
554	78515.23786
555	78464.28147
556	78396.36428
557	78313.37125
558	78240.91298
559	78171.64126
560	78083.84683
561	78021.42462
562	77931.79566
563	77845.62874
564	77764.91321
565	77694.8979
566	77645.76383
567	77577.66899
568	77519.4148
569	77427.2966
570	77351.42539
571	77265.91493
572	77192.92345
573	77120.95927
574	77037.12864
575	76924.17248
576	76839.43285
577	76766.01342
578	76704.46756
579	76646.86555
580	76580.4951
581	76509.99904
582	76451.36262
583	76392.29116
584	76337.81805
585	76253.16877
586	76160.87925
587	76101.75667
588	76028.23193
589	75977.20499
590	75929.7863
591	75873.42591
592	75812.64594
593	75766.44418
594	75678.85818
595	75596.92513
596	75542.72776
597	75477.80648
598	75396.38552
599	75323.93975
600	75255.1418
601	75214.16707
602	75144.7141
603	75065.03472
604	75011.30332
605	74951.93581
606	74883.11291
607	74813.53202
608	74740.41625
609	74676.80156
610	74618.56546
611	74558.57853
612	74490.44791
613	74389.02416
614	74331.76047
615	74271.96652
616	74208.63324
617	74136.04832
618	74059.19274
619	73981.43577
620	73907.32884
621	73842.30714
622	73746.46624
623	73691.51652
624	73643.82925
625	73597.28128
626	73534.92372
627	73484.93562
628	73427.54042
629	73352.87636
630	73219.83095
631	73170.26558
632	73108.12751
633	73051.06484
634	72998.94242
635	72946.28958
636	72871.58769
637	72781.63679
638	72720.68889
639	72643.94533
640	72583.84849
641	72506.68404
642	72438.46195
643	72386.97813
644	72314.75898
645	72258.80737
646	72213.08436
647	72159.24403
648	72077.44514
649	72018.56594
650	71963.61446
651	71927.61252
652	71884.1849
653	71830.73179
654	71775.06982
655	71717.3225
656	71660.48211
657	71616.69189
658	71549.19202
659	71504.61845
660	71435.97388
661	71382.94024
662	71328.81657
663	71276.47079
664	71220.60475
665	71161.22513
666	71113.12131
667	71050.97942
668	70985.93451
669	70934.83677
670	70875.70648
671	70833.4777
672	70770.56378
673	70712.17206
674	70637.76485
675	70578.99924
676	70530.21655
677	70478.19434
678	70427.2571
679	70365.34614
680	70308.67731
681	70253.4912
682	70202.62455
683	70159.64684
684	70110.19328
685	70018.88169
686	69965.56317
687	69918.99879
688	69860.8098
689	69819.09485
690	69759.63713
691	69722.32207
692	69682.01686
693	69646.87058
694	69567.90184
695	69508.42278
696	69457.39581
697	69406.17169
698	69362.41417
699	69313.10106
700	69239.74998
701	69202.56627
702	69158.37455
703	69076.43326
704	69018.77047
705	68982.02485
706	68930.52305
707	68880.12755
708	68826.41488
709	68770.92764
710	68722.47011
711	68686.6998
712	68644.46425
713	68582.68909
714	68540.81
715	68502.24013
716	68441.10277
717	68387.19572
718	68348.1395
719	68299.86843
720	68255.2584
721	68194.61182
722	68142.32494
723	68084.08877
724	68029.35554
725	67974.97328
726	67928.59354
727	67870.87622
728	67820.00309
729	67767.8758
730	67733.64178
731	67697.41667
732	67655.45745
733	67616.17321
734	67569.01742
735	67526.75114
736	67472.48718
737	67429.75766
738	67381.12997
739	67308.87549
740	67229.89243
741	67192.57334
742	67151.19304
743	67086.94318
744	67019.20681
745	66974.03021
746	66924.29294
747	66879.05258
748	66837.06872
749	66777.27992
750	66735.67133
751	66685.84329
752	66642.63148
753	66596.85738
754	66510.84828
755	66457.10305
756	66416.05589
757	66376.64931
758	66323.19043
759	66280.85034
760	66222.58222
761	66188.99937
762	66143.41282
763	66108.36392
764	66068.63978
765	66041.16426
766	65997.10887
767	65954.87538
768	65923.17251
769	65865.10974
770	65825.29537
771	65780.3073
772	65747.25364
773	65721.39614
774	65674.67309
775	65639.91478
776	65588.6376
777	65550.00104
778	65513.49287
779	65469.23836
780	65442.63309
781	65410.04976
782	65346.44206
783	65315.40268
784	65286.38625
785	65210.51438
786	65145.36892
787	65101.18806
788	65063.50939
789	65023.20658
790	64983.68075
791	64950.31645
792	64905.68849
793	64857.01255
794	64802.29211
795	64762.53945
796	64729.1857
797	64686.89252
798	64653.43803
799	64624.80387
800	64586.36812
801	64525.95459
802	64486.1447
803	64448.71901
804	64407.23131
805	64375.25377
806	64313.57348
807	64270.05776
808	64235.49643
809	64174.91236
810	64135.65122
811	64110.31781
812	64077.37972
813	64036.01803
814	63995.58441
815	63953.61066
816	63911.47703
817	63868.89782
818	63828.20794
819	63790.19296
820	63749.74631
821	63714.86086
822	63659.77157
823	63625.41268
824	63587.64315
825	63523.36838
826	63485.58676
827	63447.91146
828	63407.53213
829	63370.12402
830	63336.63154
831	63301.24221
832	63265.14391
833	63228.64938
834	63194.08222
835	63163.44113
836	63118.42012
837	63082.67456
838	63037.29713
839	62975.52131
840	62943.89536
841	62904.8764
842	62875.0356
843	62848.51164
844	62803.03576
845	62757.646
846	62719.14368
847	62680.2392
848	62648.31679
849	62620.48741
850	62583.10307
851	62554.00935
852	62518.04984
853	62482.14296
854	62414.01002
855	62378.86516
856	62335.87791
857	62305.27703
858	62274.12415
859	62241.12512
860	62196.23061
861	62169.77363
862	62142.13506
863	62090.32062
864	62040.46873
865	61995.28551
866	61964.74158
867	61933.0345
868	61884.72318
869	61861.07677
870	61827.12132
871	61805.30764
872	61750.38599
873	61707.83907
874	61682.87863
875	61641.7296
876	61618.99138
877	61561.56468
878	61532.03341
879	61481.09098
880	61454.72009
881	61415.14234
882	61377.84659
883	61329.5094
884	61295.52978
885	61268.29723
886	61236.54942
887	61204.553
888	61172.88079
889	61136.38434
890	61088.01252
891	61058.04322
892	61004.79747
893	60944.81904
894	60917.52496
895	60886.46367
896	60854.52127
897	60823.53271
898	60778.27499
899	60747.60408
900	60714.25222
901	60660.57941
902	60600.19653
903	60572.0423
904	60536.96732
905	60509.23427
906	60467.52169
907	60435.69371
908	60393.30806
909	60368.31266
910	60337.76584
911	60304.71401
912	60273.4254
913	60235.51335
914	60204.29563
915	60172.28152
916	60122.85769
917	60094.01499
918	60041.99297
919	60002.07819
920	59977.18888
921	59947.02035
922	59918.54352
923	59862.12756
924	59831.43902
925	59792.68276
926	59751.22975
927	59715.38374
928	59673.13888
929	59641.07918
930	59591.84953
931	59537.73738
932	59506.59734
933	59472.88183
934	59449.21367
935	59417.05363
936	59383.70482
937	59348.78928
938	59303.14662
939	59283.67678
940	59258.97775
941	59213.8798
942	59168.76553
943	59142.42828
944	59111.08098
945	59087.15712
946	59048.14089
947	59019.71283
948	58990.88002
949	58964.12013
950	58934.94656
951	58890.96647
952	58845.28159
953	58816.77472
954	58767.96146
955	58741.83138
956	58698.18644
957	58674.16414
958	58628.85703
959	58593.90142
960	58566.82891
961	58512.95276
962	58486.77898
963	58452.52196
964	58404.27634
965	58379.83413
966	58359.17192
967	58327.3517
968	58293.21971
969	58262.3233
970	58230.92125
971	58198.16259
972	58157.36359
973	58130.1315
974	58103.56424
975	58081.18301
976	58047.70816
977	58023.37913
978	58001.35191
979	57965.22052
980	57941.35343
981	57920.19214
982	57879.1548
983	57847.1689
984	57816.8328
985	57792.2558
986	57755.46175
987	57728.58428
988	57684.52982
989	57639.35523
990	57614.46744
991	57578.8256
992	57549.97406
993	57526.96986
994	57505.53412
995	57484.98304
996	57443.3729
997	57408.82893
998	57375.91507
999	57349.51126
