iter	MultiClass
0	1.826202814
1	1.731542978
2	1.65646912
3	1.590769333
4	1.537565415
5	1.490568938
6	1.448131686
7	1.409752849
8	1.376773745
9	1.346795531
10	1.321274525
11	1.298430873
12	1.278596875
13	1.258078254
14	1.240288168
15	1.224245498
16	1.20836343
17	1.195369675
18	1.18287663
19	1.171899278
20	1.162087688
21	1.152526689
22	1.14263549
23	1.132989222
24	1.125387504
25	1.119383704
26	1.112568617
27	1.106079004
28	1.099504642
29	1.093456707
30	1.087540991
31	1.08232085
32	1.077149192
33	1.071766735
34	1.066548932
35	1.061312778
36	1.058438709
37	1.055508385
38	1.051173635
39	1.048618635
40	1.044600673
41	1.040993361
42	1.038056461
43	1.035780018
44	1.032839095
45	1.029617101
46	1.026452818
47	1.022365967
48	1.019646064
49	1.016999457
50	1.013626955
51	1.011072699
52	1.007330411
53	1.005491869
54	1.002961798
55	0.999869152
56	0.9974682083
57	0.9945154331
58	0.991790007
59	0.9890612214
60	0.9869358347
61	0.9839510328
62	0.9821481685
63	0.9797735371
64	0.9784612804
65	0.9765329253
66	0.9740402238
67	0.9718621572
68	0.9704332415
69	0.9681237297
70	0.9663017937
71	0.9650222488
72	0.9637420784
73	0.9617651357
74	0.9602909578
75	0.9586386875
76	0.956319755
77	0.9547853484
78	0.9528397089
79	0.9504360504
80	0.9487692255
81	0.9475137445
82	0.9458640927
83	0.9439906136
84	0.9417935425
85	0.9406457184
86	0.9394554896
87	0.9378821748
88	0.9359168891
89	0.9336112965
90	0.9326528651
91	0.9308509621
92	0.9284097184
93	0.9271855204
94	0.9259508829
95	0.9233601742
96	0.9218794005
97	0.9201906575
98	0.9192361476
99	0.9165274524
100	0.9149247217
101	0.9136915051
102	0.9113721065
103	0.9090682487
104	0.9075783551
105	0.9060741794
106	0.9048990074
107	0.90309281
108	0.9021192851
109	0.8993938525
110	0.8977192102
111	0.8958549117
112	0.8944922919
113	0.8938370133
114	0.8920778447
115	0.8904246021
116	0.8886992637
117	0.8867398344
118	0.8855445868
119	0.884362118
120	0.8832719129
121	0.8822817491
122	0.8810978887
123	0.8796208319
124	0.8777352824
125	0.8763445849
126	0.8751348626
127	0.873600271
128	0.8722078192
129	0.8707191985
130	0.8693158302
131	0.8677965152
132	0.8665049228
133	0.865216469
134	0.8642619642
135	0.8626695926
136	0.8607504192
137	0.8584789534
138	0.8573845043
139	0.8567839985
140	0.8545263954
141	0.8532557028
142	0.8521200476
143	0.851174385
144	0.8497523786
145	0.8477478566
146	0.8468590801
147	0.8456858399
148	0.8449143353
149	0.8440066257
150	0.8426273465
151	0.8407290819
152	0.8396849641
153	0.8384965136
154	0.8376126584
155	0.8363557412
156	0.8344944577
157	0.8332212602
158	0.8312368053
159	0.829765842
160	0.8277634925
161	0.8268653708
162	0.8258170772
163	0.8244289263
164	0.8229621721
165	0.8203625545
166	0.8190968004
167	0.8174871527
168	0.8158761359
169	0.814350392
170	0.8124950898
171	0.8118570569
172	0.810634276
173	0.8097129127
174	0.8084900603
175	0.8064568337
176	0.8045631641
177	0.8030127151
178	0.8020332403
179	0.8009306941
180	0.7998590454
181	0.7982221605
182	0.7970084755
183	0.7961261039
184	0.7947939445
185	0.7939399814
186	0.7927621307
187	0.7916784999
188	0.7902405723
189	0.7888893345
190	0.7878893288
191	0.7867983163
192	0.785272931
193	0.7834960031
194	0.782937702
195	0.7818458007
196	0.7807900012
197	0.7801482252
198	0.7794116257
199	0.7780716607
200	0.7769485614
201	0.7757250566
202	0.7747310971
203	0.7735443089
204	0.7728825236
205	0.7708969982
206	0.7694630809
207	0.7686104094
208	0.7677878642
209	0.7664733512
210	0.7653145115
211	0.7640490878
212	0.7626227406
213	0.7615723839
214	0.7599478692
215	0.7590913279
216	0.7582309729
217	0.7568794627
218	0.7562693113
219	0.7555456111
220	0.7545272664
221	0.7532448137
222	0.7519944889
223	0.7509622673
224	0.7497199215
225	0.748609648
226	0.7478266088
227	0.747080562
228	0.7467445159
229	0.7454994646
230	0.7449290536
231	0.7435141071
232	0.7429445352
233	0.7417222274
234	0.7406858406
235	0.7401980421
236	0.7397831442
237	0.7392217387
238	0.7373406639
239	0.7357560447
240	0.7344188505
241	0.7331161629
242	0.7324869559
243	0.731387964
244	0.7294668762
245	0.7287431961
246	0.7275746109
247	0.7260373826
248	0.7245903145
249	0.7242406668
250	0.72253336
251	0.7215553824
252	0.7213738275
253	0.7208441218
254	0.7193197145
255	0.7185542264
256	0.7175103526
257	0.7167007585
258	0.7152252879
259	0.714562358
260	0.7135784096
261	0.7129334388
262	0.7117450225
263	0.7105251404
264	0.7101711202
265	0.7089673513
266	0.7084640459
267	0.7080344464
268	0.7062989926
269	0.7052840741
270	0.704739328
271	0.703975919
272	0.7026639677
273	0.701944458
274	0.700826667
275	0.699358315
276	0.6986413058
277	0.6965322651
278	0.6958308588
279	0.694439262
