iter	Passed	Remaining
0	6	6325
1	9	4934
2	13	4518
3	19	4783
4	23	4634
5	26	4425
6	29	4251
7	34	4226
8	39	4356
9	43	4305
10	47	4263
11	52	4302
12	55	4194
13	58	4104
14	61	4010
15	64	3969
16	68	3961
17	72	3957
18	76	3946
19	79	3887
20	82	3833
21	85	3817
22	89	3786
23	91	3734
24	94	3688
25	97	3658
26	101	3654
27	104	3638
28	107	3611
29	110	3580
30	113	3546
31	116	3536
32	120	3530
33	124	3536
34	128	3532
35	131	3518
36	135	3520
37	139	3527
38	142	3509
39	145	3492
40	149	3496
41	152	3481
42	155	3455
43	158	3446
44	161	3428
45	165	3424
46	169	3431
47	172	3423
48	175	3405
49	177	3381
50	181	3381
51	185	3380
52	188	3366
53	191	3348
54	193	3327
55	197	3325
56	200	3319
57	203	3303
58	206	3291
59	209	3275
60	212	3268
61	215	3267
62	218	3251
63	221	3245
64	224	3232
65	227	3224
66	231	3228
67	235	3231
68	238	3223
69	241	3210
70	245	3207
71	248	3205
72	253	3218
73	256	3209
74	259	3203
75	263	3206
76	266	3194
77	269	3183
78	272	3172
79	275	3165
80	278	3162
81	282	3163
82	285	3154
83	288	3141
84	291	3134
85	294	3129
86	298	3127
87	300	3116
88	303	3107
89	306	3097
90	308	3086
91	313	3097
92	317	3097
93	320	3088
94	323	3081
95	326	3079
96	330	3080
97	334	3075
98	336	3066
99	339	3055
100	342	3049
101	346	3051
102	349	3043
103	352	3036
104	355	3026
105	357	3017
106	362	3021
107	364	3012
108	367	3002
109	370	2997
110	373	2992
111	378	3004
112	381	2997
113	384	2991
114	387	2985
115	390	2978
116	395	2984
117	398	2976
118	401	2970
119	404	2964
120	407	2957
121	411	2960
122	414	2952
123	416	2945
124	419	2939
125	422	2933
126	426	2932
127	430	2931
128	433	2925
129	435	2917
130	438	2910
131	442	2910
132	445	2906
133	448	2900
134	451	2895
135	454	2889
136	458	2886
137	461	2881
138	463	2873
139	466	2866
140	469	2862
141	472	2854
142	476	2854
143	479	2850
144	482	2844
145	485	2838
146	488	2833
147	492	2834
148	495	2829
149	497	2821
150	500	2815
151	503	2810
152	507	2808
153	510	2806
154	513	2801
155	517	2797
156	520	2794
157	524	2794
158	527	2792
159	530	2787
160	533	2782
161	536	2774
162	540	2775
163	544	2774
164	547	2768
165	550	2763
166	552	2758
167	556	2756
168	559	2752
169	562	2747
170	565	2743
171	568	2736
172	572	2737
173	575	2734
174	579	2729
175	581	2723
176	584	2717
177	588	2715
178	591	2712
179	594	2706
180	596	2700
181	599	2695
182	602	2690
183	606	2687
184	608	2681
185	611	2675
186	614	2670
187	616	2664
188	620	2661
189	623	2659
190	626	2655
191	630	2651
192	633	2646
193	637	2647
194	639	2641
195	642	2637
196	645	2631
197	648	2626
198	650	2620
199	654	2617
200	657	2612
201	660	2607
202	662	2602
203	665	2596
204	668	2594
205	672	2590
206	674	2585
207	677	2580
208	680	2575
209	683	2569
210	686	2567
211	689	2562
212	692	2558
213	695	2555
214	698	2552
215	702	2549
216	704	2543
217	707	2538
218	710	2533
219	713	2528
220	716	2524
221	719	2522
222	722	2518
223	725	2513
224	728	2507
225	730	2503
226	734	2501
227	738	2499
228	741	2495
229	743	2489
230	746	2484
231	749	2482
232	752	2477
233	755	2472
234	758	2467
235	760	2462
236	763	2457
237	767	2458
238	770	2453
239	774	2451
240	777	2447
241	780	2443
242	783	2441
243	787	2440
244	790	2435
245	793	2430
246	796	2426
247	799	2424
248	802	2419
249	804	2414
250	807	2410
251	810	2405
252	812	2400
253	817	2400
254	821	2399
255	825	2399
256	829	2398
257	834	2398
258	838	2397
259	841	2393
260	843	2388
261	846	2384
262	849	2381
263	853	2379
264	856	2374
265	858	2369
266	861	2364
267	865	2362
268	869	2361
269	872	2359
270	876	2356
271	879	2353
272	883	2351
273	886	2348
274	888	2343
275	891	2339
276	894	2334
277	898	2333
278	901	2329
279	904	2325
280	907	2322
281	910	2318
282	914	2317
283	918	2315
284	921	2312
285	925	2310
286	930	2310
287	934	2310
288	937	2305
289	940	2301
290	942	2297
291	948	2298
292	953	2299
293	956	2296
294	960	2295
295	965	2295
296	968	2292
297	972	2291
298	977	2290
299	980	2288
300	983	2283
301	985	2278
302	988	2274
303	991	2269
304	995	2267
305	998	2263
306	1001	2260
307	1004	2256
308	1007	2252
309	1010	2249
310	1015	2249
311	1019	2247
312	1022	2244
313	1026	2242
314	1031	2242
315	1034	2238
316	1037	2234
317	1040	2231
318	1044	2229
319	1047	2226
320	1051	2223
321	1054	2220
322	1056	2215
323	1060	2212
324	1063	2208
325	1066	2204
326	1068	2200
327	1073	2199
328	1077	2198
329	1080	2194
330	1084	2191
331	1086	2186
332	1089	2182
333	1093	2180
334	1096	2177
335	1099	2173
336	1102	2168
337	1105	2164
338	1108	2161
339	1111	2158
340	1115	2156
341	1118	2152
342	1122	2149
343	1125	2147
344	1130	2146
345	1132	2141
346	1135	2137
347	1138	2132
348	1141	2129
349	1144	2125
350	1148	2122
351	1151	2119
352	1153	2115
353	1157	2112
354	1160	2108
355	1163	2103
356	1165	2100
357	1168	2095
358	1172	2094
359	1175	2090
360	1178	2086
361	1181	2082
362	1184	2077
363	1186	2073
364	1190	2071
365	1193	2068
366	1196	2063
367	1199	2059
368	1201	2055
369	1205	2052
370	1208	2048
371	1211	2044
372	1214	2041
373	1217	2037
374	1221	2035
375	1224	2031
376	1227	2028
377	1230	2025
378	1233	2021
379	1236	2017
380	1239	2014
381	1243	2012
382	1247	2009
383	1250	2006
384	1254	2004
385	1257	2000
386	1260	1996
387	1263	1992
388	1265	1988
389	1268	1984
390	1273	1983
391	1275	1978
392	1278	1974
393	1281	1971
394	1284	1967
395	1287	1964
396	1290	1960
397	1293	1956
398	1296	1953
399	1299	1948
400	1302	1945
401	1305	1942
402	1308	1938
403	1311	1935
404	1314	1931
405	1319	1929
406	1322	1926
407	1325	1923
408	1328	1920
409	1331	1916
410	1334	1912
411	1338	1909
412	1341	1906
413	1344	1902
414	1347	1899
415	1351	1897
416	1354	1893
417	1357	1889
418	1360	1885
419	1362	1882
420	1365	1878
421	1369	1875
422	1373	1873
423	1375	1869
424	1378	1865
425	1381	1861
426	1385	1859
427	1388	1855
428	1391	1851
429	1393	1847
430	1396	1843
431	1399	1840
432	1402	1837
433	1405	1833
434	1408	1829
435	1412	1827
436	1416	1824
437	1419	1821
438	1422	1818
439	1426	1815
440	1429	1811
441	1432	1808
442	1436	1805
443	1439	1802
444	1442	1799
445	1445	1795
446	1449	1793
447	1452	1789
448	1455	1785
449	1457	1781
450	1460	1778
451	1463	1774
452	1467	1771
453	1470	1769
454	1473	1765
455	1476	1761
456	1479	1757
457	1483	1755
458	1487	1752
459	1489	1748
460	1492	1745
461	1495	1741
462	1499	1738
463	1502	1735
464	1505	1731
465	1507	1727
466	1511	1725
467	1515	1722
468	1518	1719
469	1521	1716
470	1525	1713
471	1528	1710
472	1532	1707
473	1535	1703
474	1537	1699
475	1540	1696
476	1543	1692
477	1547	1690
478	1551	1687
479	1554	1683
480	1557	1680
481	1559	1676
482	1563	1673
483	1566	1669
484	1569	1666
485	1572	1663
486	1575	1660
487	1579	1657
488	1583	1654
489	1586	1651
490	1588	1647
491	1591	1643
492	1594	1639
493	1597	1636
494	1601	1633
495	1604	1629
496	1606	1626
497	1610	1623
498	1614	1620
499	1617	1617
500	1620	1614
501	1624	1611
502	1627	1608
503	1630	1604
504	1633	1601
505	1636	1597
506	1639	1594
507	1643	1591
508	1647	1588
509	1650	1585
510	1653	1582
511	1656	1579
512	1659	1575
513	1662	1572
514	1665	1568
515	1669	1565
516	1672	1562
517	1675	1559
518	1678	1555
519	1681	1552
520	1685	1549
521	1687	1545
522	1690	1541
523	1694	1539
524	1697	1535
525	1699	1531
526	1702	1528
527	1705	1524
528	1708	1521
529	1712	1518
530	1715	1514
531	1718	1511
532	1721	1508
533	1725	1505
534	1728	1502
535	1731	1498
536	1733	1495
537	1736	1491
538	1739	1487
539	1743	1485
540	1746	1481
541	1749	1478
542	1752	1474
543	1755	1471
544	1758	1468
545	1761	1465
546	1765	1462
547	1768	1458
548	1771	1455
549	1774	1452
550	1777	1448
551	1780	1444
552	1782	1441
553	1786	1437
554	1788	1434
555	1792	1431
556	1795	1428
557	1798	1424
558	1801	1420
559	1803	1417
560	1807	1414
561	1810	1411
562	1813	1407
563	1815	1403
564	1819	1400
565	1821	1396
566	1825	1393
567	1828	1390
568	1830	1386
569	1833	1383
570	1836	1379
571	1840	1376
572	1842	1373
573	1845	1369
574	1848	1366
575	1851	1362
576	1854	1359
577	1858	1356
578	1862	1354
579	1865	1350
580	1867	1347
581	1870	1343
582	1873	1340
583	1876	1336
584	1879	1333
585	1882	1329
586	1885	1326
587	1889	1323
588	1892	1320
589	1894	1316
590	1897	1313
591	1900	1309
592	1902	1306
593	1906	1303
594	1909	1299
595	1911	1295
596	1914	1292
597	1917	1289
598	1920	1285
599	1923	1282
600	1926	1278
601	1929	1275
602	1931	1271
603	1934	1268
604	1938	1265
605	1941	1262
606	1943	1258
607	1946	1255
608	1949	1251
609	1953	1248
610	1955	1245
611	1958	1241
612	1961	1238
613	1964	1235
614	1967	1231
615	1971	1228
616	1975	1226
617	1978	1222
618	1981	1219
619	1983	1215
620	1987	1212
621	1990	1209
622	1993	1206
623	1995	1202
624	1998	1199
625	2002	1196
626	2005	1192
627	2008	1189
628	2010	1185
629	2013	1182
630	2016	1179
631	2020	1176
632	2023	1173
633	2026	1169
634	2028	1166
635	2031	1162
636	2035	1159
637	2037	1156
638	2040	1152
639	2043	1149
640	2046	1146
641	2049	1142
642	2052	1139
643	2055	1136
644	2058	1133
645	2061	1129
646	2064	1126
647	2067	1123
648	2071	1120
649	2074	1116
650	2076	1113
651	2079	1109
652	2082	1106
653	2085	1103
654	2088	1099
655	2091	1096
656	2094	1093
657	2096	1089
658	2099	1086
659	2102	1083
660	2105	1079
661	2108	1076
662	2111	1073
663	2114	1070
664	2117	1066
665	2120	1063
666	2123	1060
667	2126	1056
668	2128	1053
669	2132	1050
670	2135	1047
671	2138	1043
672	2140	1040
673	2143	1036
674	2146	1033
675	2150	1030
676	2153	1027
677	2155	1023
678	2158	1020
679	2161	1017
680	2164	1013
681	2167	1010
682	2171	1007
683	2173	1004
684	2176	1000
685	2179	997
686	2183	994
687	2186	991
688	2188	988
689	2191	984
690	2195	981
691	2198	978
692	2201	975
693	2204	971
694	2206	968
695	2209	965
696	2212	961
697	2215	958
698	2218	955
699	2221	952
700	2224	948
701	2226	945
702	2230	942
703	2233	939
704	2236	935
705	2239	932
706	2241	929
707	2244	925
708	2247	922
709	2250	919
710	2253	916
711	2257	912
712	2259	909
713	2263	906
714	2266	903
715	2269	900
716	2272	896
717	2275	893
718	2278	890
719	2282	887
720	2285	884
721	2288	881
722	2291	877
723	2294	874
724	2297	871
725	2300	868
726	2303	864
727	2306	861
728	2308	858
729	2312	855
730	2315	851
731	2317	848
732	2320	845
733	2323	841
734	2326	838
735	2329	835
736	2332	832
737	2335	829
738	2338	825
739	2341	822
740	2344	819
741	2347	816
742	2350	812
743	2352	809
744	2355	806
745	2358	802
746	2361	799
747	2364	796
748	2367	793
749	2370	790
750	2373	786
751	2376	783
752	2380	780
753	2383	777
754	2385	774
755	2388	771
756	2392	768
757	2395	764
758	2398	761
759	2401	758
760	2404	755
761	2407	751
762	2410	748
763	2413	745
764	2416	742
765	2419	739
766	2422	735
767	2425	732
768	2428	729
769	2431	726
770	2434	722
771	2436	719
772	2440	716
773	2443	713
774	2445	710
775	2448	706
776	2451	703
777	2453	700
778	2456	697
779	2460	693
780	2462	690
781	2465	687
782	2468	684
783	2471	680
784	2475	678
785	2479	674
786	2482	671
787	2485	668
788	2488	665
789	2491	662
790	2494	659
791	2497	655
792	2500	652
793	2503	649
794	2507	646
795	2509	643
796	2512	639
797	2515	636
798	2518	633
799	2521	630
800	2524	627
801	2527	624
802	2530	620
803	2533	617
804	2535	614
805	2539	611
806	2542	608
807	2545	604
808	2548	601
809	2550	598
810	2553	595
811	2557	592
812	2559	588
813	2562	585
814	2565	582
815	2568	579
816	2571	576
817	2574	572
818	2577	569
819	2580	566
820	2583	563
821	2586	560
822	2590	557
823	2594	554
824	2596	550
825	2599	547
826	2602	544
827	2605	541
828	2608	538
829	2611	534
830	2614	531
831	2617	528
832	2620	525
833	2623	522
834	2626	518
835	2629	515
836	2632	512
837	2635	509
838	2638	506
839	2641	503
840	2644	499
841	2646	496
842	2649	493
843	2653	490
844	2655	487
845	2658	483
846	2661	480
847	2664	477
848	2667	474
849	2670	471
850	2673	468
851	2676	464
852	2679	461
853	2681	458
854	2685	455
855	2688	452
856	2692	449
857	2695	446
858	2698	442
859	2701	439
860	2704	436
861	2707	433
862	2710	430
863	2713	427
864	2715	423
865	2720	420
866	2722	417
867	2725	414
868	2728	411
869	2731	408
870	2735	405
871	2739	402
872	2741	398
873	2744	395
874	2747	392
875	2751	389
876	2754	386
877	2757	383
878	2760	379
879	2763	376
880	2767	373
881	2770	370
882	2772	367
883	2776	364
884	2779	361
885	2782	358
886	2785	354
887	2788	351
888	2790	348
889	2793	345
890	2796	342
891	2800	339
892	2805	336
893	2807	332
894	2811	329
895	2815	326
896	2818	323
897	2821	320
898	2824	317
899	2827	314
900	2830	310
901	2833	307
902	2837	304
903	2840	301
904	2842	298
905	2845	295
906	2849	292
907	2851	288
908	2854	285
909	2857	282
910	2860	279
911	2864	276
912	2866	273
913	2869	270
914	2872	266
915	2876	263
916	2879	260
917	2882	257
918	2886	254
919	2888	251
920	2891	248
921	2894	244
922	2898	241
923	2904	238
924	2907	235
925	2911	232
926	2915	229
927	2917	226
928	2921	223
929	2924	220
930	2926	216
931	2930	213
932	2934	210
933	2937	207
934	2939	204
935	2942	201
936	2946	198
937	2949	194
938	2951	191
939	2954	188
940	2957	185
941	2962	182
942	2965	179
943	2968	176
944	2970	172
945	2974	169
946	2977	166
947	2980	163
948	2983	160
949	2985	157
950	2988	154
951	2991	150
952	2995	147
953	2999	144
954	3002	141
955	3006	138
956	3011	135
957	3014	132
958	3017	129
959	3021	125
960	3024	122
961	3027	119
962	3030	116
963	3034	113
964	3037	110
965	3040	107
966	3044	103
967	3046	100
968	3049	97
969	3052	94
970	3055	91
971	3059	88
972	3062	84
973	3065	81
974	3068	78
975	3070	75
976	3074	72
977	3078	69
978	3080	66
979	3083	62
980	3086	59
981	3089	56
982	3092	53
983	3095	50
984	3099	47
985	3103	44
986	3106	40
987	3110	37
988	3113	34
989	3116	31
990	3119	28
991	3122	25
992	3126	22
993	3128	18
994	3132	15
995	3135	12
996	3138	9
997	3142	6
998	3144	3
999	3148	0
