iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
0	0.7350630238	1.781220618	0.4749642346	0	0.2058823529	0.4773869347	0.5712484237	0.09556313993	0
1	0.764272255	1.771615736	0.508583691	0	0.06557377049	0.4510385757	0.6174174174	0.250728863	0
2	0.8071587516	1.761071617	0.5157367668	0	0.06557377049	0.4923928077	0.6167400881	0.2756756757	0
3	0.8333693831	1.7530926	0.5278969957	0	0	0.5028089888	0.6312538604	0.2719546742	0
4	0.8271079301	1.743189572	0.5321888412	0	0.03333333333	0.5254470426	0.6293532338	0.2643678161	0
5	0.8445495545	1.734977132	0.5314735336	0	0.03333333333	0.5253077975	0.6274752475	0.255952381	0
6	0.8561583822	1.725581159	0.5364806867	0	0.06557377049	0.5340599455	0.6282853567	0.2857142857	0
7	0.8540857573	1.716936215	0.5400572246	0	0.03333333333	0.5415549598	0.6284257489	0.3206521739	0
8	0.8508203962	1.708380419	0.5386266094	0	0.03333333333	0.5406125166	0.6277001271	0.3072625698	0
9	0.8516835914	1.700679212	0.5386266094	0	0.03333333333	0.5523560209	0.6262755102	0.2849002849	0
10	0.850130095	1.692539901	0.5357653791	0	0	0.5464052288	0.6239590006	0.2960893855	0
11	0.8484833223	1.684166945	0.5436337625	0	0	0.56167979	0.6291560102	0.3016759777	0
12	0.8476289378	1.676116312	0.5422031474	0	0	0.5559947299	0.6283524904	0.3064066852	0
13	0.8462491392	1.667863389	0.5443490701	0	0	0.5636363636	0.6280566281	0.3111111111	0
14	0.8500171618	1.660945635	0.5464949928	0	0	0.5769728331	0.6296296296	0.2782608696	0
15	0.8492796793	1.652779694	0.547925608	0	0	0.5777202073	0.6301020408	0.2848837209	0
16	0.852079009	1.645841729	0.547925608	0	0	0.5799739922	0.6303107166	0.2721893491	0
17	0.8490132844	1.637524441	0.5443490701	0	0	0.582697201	0.6239590006	0.2670623145	0
18	0.8525332629	1.630508631	0.5493562232	0	0	0.5832258065	0.6302414231	0.2746268657	0
19	0.8514809734	1.623792412	0.5486409156	0	0	0.5839793282	0.6290424857	0.2702702703	0
20	0.8538773458	1.617740459	0.5472103004	0	0	0.5882352941	0.6277001271	0.25	0
21	0.8522207321	1.610154269	0.5507868383	0	0	0.5858064516	0.6311787072	0.2719033233	0
22	0.8523872348	1.602780723	0.5486409156	0	0	0.5847347995	0.6291850916	0.262195122	0
23	0.8527228741	1.596135555	0.5515021459	0	0	0.5861182519	0.6311787072	0.2743902439	0
24	0.8589572156	1.590329696	0.5515021459	0	0	0.5923076923	0.631043257	0.265060241	0
25	0.859827568	1.583826598	0.5536480687	0	0	0.5987261146	0.631913541	0.2576687117	0
26	0.8614735062	1.578157409	0.547925608	0	0	0.5933503836	0.6283185841	0.23125	0
27	0.8623796585	1.57137044	0.5486409156	0	0	0.5948717949	0.6287160025	0.2352941176	0
28	0.859634438	1.565318144	0.5493562232	0	0	0.5945945946	0.6305852738	0.2264150943	0
29	0.8616472619	1.559251044	0.5500715308	0	0	0.5984654731	0.6309823678	0.2165605096	0
30	0.8621072535	1.55422081	0.5515021459	0	0	0.5982028241	0.6323067253	0.2229299363	0
31	0.8648299369	1.548818984	0.5515021459	0	0	0.6025641026	0.6319095477	0.2115384615	0
32	0.8669433044	1.542923124	0.5500715308	0	0	0.5989717224	0.6303258145	0.2129032258	0
33	0.8667714958	1.537358999	0.5507868383	0	0	0.5982028241	0.6319749216	0.2129032258	0
34	0.8660960025	1.53171004	0.5507868383	0	0	0.5997425997	0.6303258145	0.2186495177	0
35	0.8663372979	1.526109437	0.5507868383	0	0	0.6025641026	0.6290018832	0.2186495177	0
36	0.8679125052	1.520628365	0.5529327611	0	0	0.6033376123	0.6323713927	0.2186495177	0
37	0.8683507966	1.515289241	0.5507868383	0	0	0.6017925736	0.6311166876	0.2071197411	0
38	0.868007512	1.509840147	0.5515021459	0	0	0.6028097063	0.6305852738	0.2179487179	0
39	0.8677018218	1.504189139	0.5507868383	0	0	0.5984654731	0.6301886792	0.2243589744	0
40	0.8679050506	1.498862879	0.5522174535	0	0	0.6028097063	0.6301197227	0.2292993631	0
41	0.8670108777	1.493353908	0.5543633763	0	0	0.6076923077	0.6313799622	0.2334384858	0
42	0.8673584695	1.488579698	0.556509299	0	0	0.6096938776	0.6333754741	0.2389937107	0
43	0.8676358443	1.484026237	0.5586552217	0	0	0.6096938776	0.635443038	0.25	0
44	0.8682032651	1.479504969	0.5572246066	0	0	0.6089171975	0.6346396966	0.2397476341	0
45	0.8694572539	1.475033247	0.5600858369	0	0	0.6108998733	0.6361904762	0.25625	0
46	0.8694316322	1.470279915	0.5579399142	0	0	0.6101265823	0.6344564526	0.2492211838	0
47	0.8714736051	1.46543164	0.5572246066	0	0	0.6055979644	0.6336507937	0.2600619195	0
48	0.8721342058	1.460329064	0.5600858369	0	0	0.6048284625	0.6356687898	0.2813455657	0
49	0.8717077156	1.455926087	0.5579399142	0	0	0.6032953105	0.6343949045	0.2707692308	0
50	0.8711194131	1.451193047	0.5593705293	0	0	0.6075949367	0.6347381865	0.2743902439	0
51	0.8720119317	1.446969829	0.5615164521	0	0	0.6050632911	0.6368286445	0.2909090909	0
52	0.8723845349	1.442383652	0.5622317597	0	0	0.6065989848	0.6372360845	0.2942942943	0
