iter	Passed	Remaining
0	3	7853
1	8	8149
2	12	8244
3	16	8317
4	20	8317
5	24	8295
6	29	8317
7	33	8451
8	38	8577
9	43	8557
10	47	8554
11	51	8531
12	55	8498
13	60	8525
14	64	8489
15	66	8197
16	70	8179
17	74	8234
18	79	8238
19	83	8303
20	88	8370
21	93	8382
22	97	8385
23	101	8381
24	105	8361
25	110	8388
26	114	8390
27	119	8393
28	124	8434
29	128	8418
30	132	8429
31	136	8412
32	141	8424
33	145	8412
34	149	8404
35	153	8392
36	158	8392
37	163	8416
38	167	8409
39	171	8402
40	175	8383
41	179	8389
42	184	8376
43	188	8384
44	192	8366
45	196	8355
46	201	8358
47	205	8340
48	209	8344
49	214	8353
50	218	8346
51	222	8341
52	226	8337
53	231	8336
54	235	8335
55	240	8338
56	244	8337
57	248	8335
58	252	8314
59	256	8309
60	261	8312
61	265	8310
62	270	8309
63	275	8328
64	279	8319
65	283	8318
66	288	8331
67	292	8324
68	296	8309
69	301	8302
70	305	8306
71	309	8295
72	313	8286
73	318	8293
74	323	8293
75	327	8280
76	331	8279
77	335	8271
78	339	8264
79	343	8252
80	348	8251
81	352	8252
82	356	8240
83	360	8227
84	364	8216
85	368	8209
86	373	8207
87	377	8195
88	381	8190
89	385	8182
90	389	8171
91	393	8160
92	397	8156
93	401	8146
94	406	8142
95	410	8141
96	414	8140
97	419	8143
98	424	8145
99	428	8140
100	433	8142
101	437	8142
102	441	8136
103	446	8137
104	450	8133
105	454	8128
106	459	8121
107	463	8117
108	467	8108
109	471	8098
110	475	8093
111	480	8091
112	484	8090
113	489	8094
114	493	8088
115	497	8082
116	502	8079
117	506	8080
118	510	8073
119	515	8072
120	519	8073
121	524	8066
122	528	8062
123	532	8052
124	536	8050
125	540	8038
126	544	8032
127	548	8021
128	552	8018
129	557	8014
130	561	8009
131	565	8006
132	569	7995
133	573	7990
134	577	7981
135	582	7978
136	586	7975
137	590	7968
138	594	7965
139	599	7958
140	603	7954
141	607	7949
142	611	7940
143	615	7938
144	620	7936
145	625	7940
146	629	7934
147	633	7929
148	638	7934
149	643	7931
150	647	7923
151	651	7917
152	655	7911
153	659	7909
154	663	7902
155	668	7900
156	672	7896
157	676	7890
158	681	7890
159	685	7885
160	690	7882
161	694	7877
162	698	7870
163	702	7862
164	706	7859
165	711	7858
166	715	7850
167	719	7847
168	723	7842
169	727	7835
170	731	7828
171	736	7824
172	740	7822
173	744	7816
174	749	7811
175	753	7806
176	757	7800
177	761	7797
178	765	7790
179	770	7785
180	774	7786
181	778	7781
182	783	7775
