,0
0,МОСКОВСКАЯ ОБЛ
1,КРАЙ СТАВРОПОЛЬСКИЙ
2,САНКТ-ПЕТЕРБУРГ
3,ОБЛ АРХАНГЕЛЬСКАЯ
4,ХАНТЫ-МАНСИЙСКИЙ АО
5,ПЕРМСКИЙ КРАЙ
6,КРАСНОДАРСКИЙ КРАЙ
7,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА
8,РЕСП КАРАЧАЕВО-ЧЕРКЕССКАЯ
9,САРАТОВСКАЯ ОБЛ
10,ОБЛ КАЛУЖСКАЯ
11,ОБЛ ВОЛОГОДСКАЯ
12,РОСТОВСКАЯ ОБЛ
13,УДМУРТСКАЯ РЕСП
14,РЕСП. БАШКОРТОСТАН
15,ОБЛ ИРКУТСКАЯ
16,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
17,ОБЛ МОСКОВСКАЯ
18,ОБЛ ТЮМЕНСКАЯ
19,ОБЛ БЕЛГОРОДСКАЯ
20,РОСТОВСКАЯ ОБЛАСТЬ
21,ОБЛ КОСТРОМСКАЯ
22,РЕСП ХАКАСИЯ
23,РЕСПУБЛИКА ТАТАРСТАН
24,ИРКУТСКАЯ ОБЛАСТЬ
25,ОБЛ СВЕРДЛОВСКАЯ
26,ОБЛ ПСКОВСКАЯ
27,КРАЙ ЗАБАЙКАЛЬСКИЙ
28,ОБЛ НИЖЕГОРОДСКАЯ
29,СВЕРДЛОВСКАЯ ОБЛ
30,ОБЛ ОРЕНБУРГСКАЯ
31,ОБЛ ВОРОНЕЖСКАЯ
32,ОБЛ АСТРАХАНСКАЯ
33,ОБЛ НОВОСИБИРСКАЯ
34,ОБЛ ЧЕЛЯБИНСКАЯ
35,ОРЕНБУРГСКАЯ ОБЛ
36,СВЕРДЛОВСКАЯ ОБЛАСТЬ
37,ОБЛ КУРГАНСКАЯ
38,ЧЕЛЯБИНСКАЯ ОБЛ
39,НИЖЕГОРОДСКАЯ ОБЛАСТЬ
40,МОСКВА
41,ТАТАРСТАН РЕСП
42,УЛЬЯНОВСКАЯ ОБЛ
43,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ
44,МОСКВА Г
45,СТАВРОПОЛЬСКИЙ КРАЙ
46,ОБЛ МУРМАНСКАЯ
47,КРАСНОЯРСКИЙ КРАЙ
48,ОБЛ ВОЛГОГРАДСКАЯ
49,РЕСП БУРЯТИЯ
50,РЕСП. САХА (ЯКУТИЯ)
51,ОБЛ АМУРСКАЯ
52,ХАБАРОВСКИЙ КРАЙ
53,САНКТ-ПЕТЕРБУРГ Г
54,ЯМАЛО-НЕНЕЦКИЙ АО
55,РЕСП БАШКОРТОСТАН
56,ОБЛ САМАРСКАЯ
57,ТЮМЕНСКАЯ ОБЛАСТЬ
58,ТВЕРСКАЯ ОБЛАСТЬ
59,ЯРОСЛАВСКАЯ ОБЛАСТЬ
