,0
0,МОСКОВСКАЯ ОБЛАСТЬ
1,СТАВОПОЛЬСКИЙ КРАЙ
2,САНКТ-ПЕТЕРБУРГ
3,АРХАНГЕЛЬСКАЯ ОБЛАСТЬ
4,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНОЫЙ ОКРУГ
5,ПЕРМСКИЙ КРАЙ
6,КРАСНОДАРСКИЙ КРАЙ
7,РЕСПУБЛИКА КАРАЧАЕВО-ЧЕРКЕСИЯ
8,САРАТОВСКАЯ ОБЛАСТЬ
9,КАЛУЖСКАЯ ОБЛАСТЬ
10,ВОЛОГОДСКАЯ ОБЛАСТЬ
11,РОСТОВСКАЯ КРАЙ
12,УДМУРТСКАЯ РЕСПБЛИКА
13,РЕСПУБЛИКА БАШКОРТОСТАН
14,ИРКУТСКАЯ ОБЛАСТЬ
15,НИЖЕГОРОДСКАЯ ОБЛАСТЬ
16,ТЮМЕНСКАЯ ОБЛАСТЬ
17,БЕЛГОРДОСКАЯ ОБЛАСТЬ
18,КОСТРОМСКАЯ ОБЛАСТЬ
19,РЕСПБЛИКА ХАКАСИЯ
20,РЕСПБЛИКА ТАТАРСТАН
21,СВЕРДЛОВСКАЯ ОБЛАСТЬ
22,ПСКОВСКАЯ ОБЛАСТЬ
23,ЗАБАЙКАЛЬСКИЙ КРАЙ
24,ОРЕНБУРГСКАЯ ОБЛАСТЬ
25,ВОРОНЕЖСКАЯ ОБЛАСТЬ
26,АСТРАХАНСКАЯ ОБЛАСТЬ
27,НОВОСИБИРСКАЯ ОБЛАСТЬ
28,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ
29,КУРГАНСКАЯ ОБЛАСТЬ
30,МОСКВА
31,УЛЬЯНОВСКАЯ ОБЛАСТЬ
32,МУРМАНСКАЯ ОБЛАСТЬ
33,КРАСНОЯРСКИЙ КРАЙ
34,ВОЛГОГРАДСКАЯ ОБЛАСТЬ
35,РЕСПБЛИКА БУРЯТИЯ
36,РЕСПБЛИКА САХА (ЯКУТИЯ)
37,АМУРСКАЯ ОБЛАСТЬ
38,ХАБАРОВСКИЙ КРАЙ
39,НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ
40,САМАРСКАЯ ОБЛАСТЬ
41,ТВЕРСКАЯ ОБЛАСТЬ
42,ЯРОСЛАВСКАЯ ОБЛАСТЬ
43,ВЛАДИМИРСКАЯ ОБЛАСТЬ
44,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ
45,КЕМЕРОВСКАЯ ОБЛАСТЬ
46,ОМСКАЯ ОБЛАСТЬ
47,ЧЕЧЕНСКАЯ РЕСПУБЛИКА
48,КУРСКАЯ ОБЛАСТЬ
49,ТУЛЬСКАЯ ОБЛАСТЬ
50,РЕСПУБЛИКА АДЫГЕЯ
51,РЕСПБЛИКА КОМИ
52,ПРИМОРСКИЙ КРАЙ
53,СМОЛЕНСКАЯ ОБЛАСТЬ
54,КИРОВСКАЯ ОБЛАСТЬ
55,РЕСПБЛИКА ДАГЕСТАН
56,ПЕНЗЕНСКАЯ ОБЛАСТЬ
57,РЕСПБЛИКА КАРЕЛИЯ
58,МАГАДАНСКАЯ ОБЛАСТЬ
59,РЕСПБЛИКА МАРИЙ ЭЛ
60,ИВАНОВСКАЯ ОБЛАСТЬ
61,ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ
62,АЛТАЙСКИЙ КРАЙ
63,КАБАРИНО-БАЛКАРСКАЯ РЕСПБЛИКА
64,ТАМБОВСКАЯ ОБЛАСТЬ
65,РЕСПБЛИКА ТЫВА
66,НОВГОРОДСКАЯ ОБЛАСТЬ
67,ЛИПЕЦКАЯ ОБЛАСТЬ
68,РЕСПБЛИКА СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ
69,РЯЗАНСКАЯ ОБЛАСТЬ
70,ЧУВАШСКАЯ РЕСПБЛИКА
71,КАМЧАТСКИЙ КРАЙ
72,РЕСПБЛИКА МОРДОВИЯ
73,РЕСПБЛИКА КАЛМЫКИЯ
74,РЕСПУБЛИКА АЛТАЙ
75,БРЯНСКАЯ ОБЛАСТЬ
76,КАЛИНГРАДСКАЯ ОБЛАСТЬ
77,ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ
78,РЕСПБЛИКА ИНГУШЕТИЯ
79,ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
